Dates24,Dooley Daily24,Dooley Rolling24,Lubes Daily24,Lubes Rolling24,Hauling Income Daily24,Hauling Estimate24,Hauling Income Rolling24,Tankwagon Daily24,Tankwagon Estimate24,Tankwagon Rolling24,Transport Fuels Daily24,Transport Fuels Rolling24,Chief Petroleum Daily24,Chief Petroleum Rolling24,Lubes/Dooley GP %24,Tankwagon Last GP %24,Hauling  GP %24,Transport Fuels  GP %24,Chief GP %24
1/2/2024,"$6,553.62","$6,553.62","$5,642.07","$5,642.07","$2,009.07","$1,892.00","$2,009.07","$17,041.13","$15,702.31","$17,041.13","$1,652.91","$1,652.91","$34,190.06","$34,190.06",143%,-43%,16%,-51%,22%
1/3/2024,$575.52,"$7,127.14","$14,476.37","$20,118.44","$2,386.57","$2,877.00","$4,395.64","$9,711.64","$9,964.64","$26,791.09","$4,263.60","$5,917.07","$33,268.04","$67,496.72",171%,-38%,-9%,-13%,19%
1/4/2024,$884.60,"$8,011.74","$3,348.04","$23,655.32","$3,070.16","$3,285.00","$7,465.80","$13,718.67","$12,179.23","$40,509.76","$7,922.38","$12,649.05","$29,802.01","$97,487.57",110%,-29%,-8%,24%,14%
1/5/2024,"$3,299.78","$11,311.52","$2,334.27","$29,120.39","$2,542.96","$3,068.00","$9,355.47","$15,580.92","$12,943.93","$57,144.71","$3,717.27","$16,664.63","$26,970.13","$130,020.97",101%,-34%,-3%,23%,13%
1/8/2024,$816.98,"$12,128.50","$3,860.64","$36,347.33","$1,565.17","$1,351.35","$11,573.93","$12,832.30","$12,581.38","$70,143.56","$4,134.15","$20,643.98","$24,449.35","$157,848.37",93%,-34%,-4%,22%,10%
1/9/2024,$473.33,"$12,965.87","$3,240.64","$39,428.59","$2,611.11","$2,795.50","$14,185.04","$14,856.53","$14,816.95","$85,105.13","$8,872.37","$30,544.94","$28,936.67","$189,168.36",74%,-33%,-3%,50%,10%
1/10/2024,"$2,698.23","$15,664.10","$5,245.01","$43,137.71","$2,415.41","$2,450.48","$16,339.65","$14,963.05","$13,501.53","$99,122.56","$7,639.00","$38,183.94","$34,005.19","$223,065.84",54%,-34%,-3%,61%,11%
1/11/2024,$45.64,"$15,801.27",$185.53,"$43,231.71","$6,847.57","$7,189.84","$23,187.22","$16,740.86","$15,956.35","$115,851.75","$6,300.47","$43,963.22","$27,351.92","$250,406.09",35%,-18%,-1%,62%,9%
1/12/2024,$0.00,"$15,801.27",$568.97,"$45,059.32","$2,038.00","$2,146.71","$25,225.22","$27,605.15","$25,142.01","$142,044.76","$8,115.24","$51,972.93","$29,296.44","$289,443.50",24%,-21%,8%,70%,12%
1/15/2024,$0.00,"$6,878.48","$5,183.09","$53,733.31","$3,695.63","$3,831.55","$29,402.04","$13,344.75","$16,459.02","$154,406.80","$2,171.97","$54,086.39","$24,068.59","$323,274.00",11%,-17%,5%,59%,12%
