Dates25_1,TW Running Total Goal25,TW Rolling Total Actual QB25,Hauling Running Total Goal25,Hauling  Rolling Total Actual QB25,Transport Fuels Running Total Goal25,Transport Fuels Rolling Total Actual QB25,Lubes/Dooley Running Total Goal25,Lubes/Dooley Rolling Total Actual QB25,Chief Running Total Goal25,Chief Rolling Total Actual QB25,Lubes/Dooley %25,Hauling %25,Tankwagon %25,Transport Fuels %25,Chief %25
1/3/2025,"$29,317.78 ","$25,358.46 ","$6,576.64 ","$5,397.86 ","$6,793.14 ","$9,165.79 ","$10,901.85 ","$17,817.93 ","$56,064.85 ","$58,711.76 ",165%,-29%,-16%,59%,24%
1/7/2025,"$58,635.57 ","$49,305.86 ","$13,153.29 ","$12,087.64 ","$13,586.28 ","$21,001.68 ","$10,901.85 ","$25,622.16 ","$112,129.70 ","$110,185.24 ",240%,-6%,-10%,73%,3%
1/8/2025,"$73,294.46 ","$58,213.84 ","$16,441.61 ","$16,073.12 ","$16,982.85 ","$26,779.44 ","$16,352.78 ","$29,060.69 ","$140,162.13 ","$133,012.37 ",135%,-8%,-16%,55%,-2%
1/9/2025,"$87,953.35 ","$71,242.69 ","$19,729.93 ","$20,785.39 ","$20,379.41 ","$40,181.91 ","$21,803.70 ","$41,206.34 ","$168,194.56 ","$177,373.84 ",78%,-2%,-21%,58%,-5%
1/10/2025,"$102,612.24 ","$86,616.63 ","$23,018.25 ","$23,906.48 ","$23,775.98 ","$46,734.55 ","$27,254.63 ","$47,678.26 ","$196,226.98 ","$209,393.70 ",89%,5%,-19%,97%,5%
1/13/2025,"$117,271.13 ","$102,947.99 ","$26,306.57 ","$27,242.42 ","$27,172.55 ","$52,972.47 ","$32,705.55 ","$53,132.37 ","$224,259.41 ","$241,353.49 ",62%,4%,-12%,95%,8%
1/14/2025,"$131,930.03 ","$117,696.47 ","$29,594.90 ","$30,535.90 ","$30,569.12 ","$61,931.01 ","$38,156.48 ","$61,906.98 ","$252,291.83 ","$277,721.36 ",62%,3%,-11%,103%,10%
1/15/2025,"$146,588.92 ","$147,699.61 ","$32,883.22 ","$41,936.01 ","$33,965.69 ","$72,337.86 ","$43,607.40 ","$70,331.17 ","$280,324.26 ","$334,730.65 ",61%,28%,1%,113%,19%
1/16/2025,"$161,247.81 ","$152,662.10 ","$36,171.54 ","$39,137.22 ","$37,362.26 ","$74,379.00 ","$49,058.33 ","$77,675.02 ","$308,356.69 ","$352,009.23 ",58%,8%,-5%,99%,14%
1/17/2025,"$175,906.70 ","$167,498.74 ","$39,459.86 ","$43,904.04 ","$40,758.83 ","$86,239.48 ","$54,509.26 ","$78,899.54 ","$336,389.11 ","$385,555.66 ",45%,11%,-5%,112%,15%
1/20/2025,"$190,565.59 ","$178,678.79 ","$42,748.18 ","$47,281.73 ","$44,155.40 ","$94,418.14 ","$59,960.18 ","$76,794.48 ","$364,421.54 ","$406,794.97 ",28%,11%,-6%,114%,12%
1/21/2025,"$205,224.48 ","$191,006.20 ","$46,036.51 ","$50,328.56 ","$47,551.97 ","$99,218.98 ","$65,411.11 ","$79,168.99 ","$392,453.96 ","$429,874.91 ",21%,9%,-7%,109%,10%
1/22/2025,"$219,883.38 ","$199,560.70 ","$49,324.83 ","$52,608.16 ","$50,948.54 ","$100,594.22 ","$70,862.03 ","$87,558.95 ","$420,486.39 ","$450,884.52 ",24%,7%,-9%,97%,7%
1/23/2025,"$234,542.27 ","$212,613.39 ","$52,613.15 ","$55,765.17 ","$54,345.11 ","$105,186.39 ","$76,312.96 ","$92,431.48 ","$448,518.82 ","$477,127.22 ",21%,6%,-9%,94%,6%
1/24/2025,"$249,201.16 ","$226,743.85 ","$55,901.47 ","$60,786.30 ","$57,741.67 ","$115,667.72 ","$81,763.88 ","$99,738.60 ","$476,551.24 ","$514,971.01 ",22%,9%,-9%,100%,8%
1/28/2025,"$278,518.94 ","$257,244.78 ","$62,478.11 ","$71,820.06 ","$64,534.81 ","$123,003.70 ","$92,665.73 ","$103,576.39 ","$532,616.09 ","$567,977.80 ",15%,15%,-9%,94%,7%
1/29/2025,"$293,177.84 ","$271,110.78 ","$65,766.44 ","$74,572.63 ","$67,931.38 ","$127,067.96 ","$98,116.66 ","$115,105.04 ","$560,648.52 ","$601,562.44 ",12%,15%,-8%,91%,7%
