Date,Customer,Customer-Address,Product Type,Gallon Qty,Actual Profit By Item,Actual Cost by item,Sales,Margin by Product,Unleaded cost,Clear Cost,Dyed Cost
1/1/2025,HCD INC.,"1310 FORD ST. COLORADO SPRINGS, CO 80915",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),439,$970.06 ,"$1,020.10 ","$1,990.16 ",$2.21 ,$933.88 ,"$1,020.10 ","$1,019.58 "
1/2/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),89,$31.05 ,$206.70 ,$237.75 ,$0.35 ,$189.33 ,$206.81 ,$206.70 
1/2/2025,CITY OF CS FLEET MNG.,FLEET MANAGEMENT PO BX 1575,#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),143,$49.88 ,$332.12 ,$382.00 ,$0.35 ,$304.20 ,$332.29 ,$332.12 
1/2/2025,"MODERN TRANSPORT SOLUTIONS, INC","3439 N 80th St Mesa, AZ 85207",#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),"3,006","$1,178.20 ","$6,703.38 ","$7,881.58 ",$0.39 ,"$5,711.40 ","$6,703.38 ","$6,733.44 "
1/2/2025,"MODERN TRANSPORT SOLUTIONS, INC","3439 N 80th St Mesa, AZ 85207",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"1,200",$611.94 ,"$2,688.00 ","$3,299.94 ",$0.51 ,"$2,280.00 ","$2,676.00 ","$2,688.00 "
1/2/2025,"TOTAL TERRAIN, INC","140 Central Main St. Suite 200 Pueblo, CO 81003",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),"2,000","$1,059.90 ","$4,480.00 ","$5,539.90 ",$0.53 ,"$3,800.00 ","$4,460.00 ","$4,480.00 "
1/2/2025,HPD ENTERPRISE INC.,"125 N. WAHSATCH COLORADO SPRINGS, CO 80903",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),116,$49.88 ,$269.41 ,$319.29 ,$0.43 ,$246.77 ,$269.55 ,$269.41 
1/2/2025,BRADLEY EXCAVATING,"2220 BUSCH AVENUE COLORADO SPRINGS, CO 80904",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),584,$367.89 ,"$1,308.16 ","$1,676.05 ",$0.63 ,"$1,109.60 ","$1,302.32 ","$1,308.16 "
1/2/2025,TALL TIMBERS TREE AND SCRUB SERVICE,DEBRA CARPENTER PO BOX 62372 3616 W HIGH ST,#2DIESEL -PART (#2 ULTRA LOW SULFUR DIESEL BULK),347,$229.70 ,$773.81 ,"$1,003.51 ",$0.66 ,$659.30 ,$773.81 ,$777.28 
1/2/2025,FUJIFILM ELECTRONIC MATERIALS U.S.A. INC,"80 CIRCUIT DRIVE NORTH KINGSTOWN, RHODE ISLAND 02852",#2 LS DYED -PART (#2 DYED ULTRA LOW SULFUR BULK),235,$112.80 ,$545.79 ,$658.59 ,$0.48 ,$499.92 ,$546.07 ,$545.79 
